Date,Time,NQ
1161214,0,4939.5
1161215,0,4934
1161216,0,4937.5
1161218,1715,4921.5
1161219,0,4923.25
1161220,0,4942
1161221,0,4956.75
1161222,0,4942.5
1161223,0,4933.75
1161226,1715,4942
1161227,0,4943.25
1161228,0,4969.75
1161229,0,4923.5
1161230,0,4935
1170102,1715,4889
1170103,0,4894.25
